id,topic_name,topic_link,topic_content,associated_category,summary
11,"About the Elected  Representatives 💼 category",https://gov.optimism.io/t/about-the-elected-representatives-category/8098,"maxwell May 9, 2024, 6:03pm 1 This category is for any Elected Representative Structure (i.e., councils). These are the boards, commissions, and councils within the Optimism Collective. 2 Likes Optimism Forum Weekly Recap (May 6, 2024 - May 12, 2024)","Elected  Representatives 💼","This forum post is a weekly recap of the Optimism Collective, focusing on the activities of elected representatives within the organization. It covers the period from May 6th to May 12th, 2024."
12,"Zach Obront - Developer Advisory Board Operating Budget",https://gov.optimism.io/t/zach-obront-developer-advisory-board-operating-budget/8141,"zachobront May 13, 2024, 9:33pm 1 Proposed Board Lead: Zach Obront Proposed Board Operating Budget: 90,000 OP (+20k from last season) Contact Info: zobront@gmail.com Previous Work & Qualifications I work primarily as a security researcher . My work focuses substantially on the OP ecosystem. For example, I placed 1st in the audit contest on the Bedrock Upgrade . I’ve also audited Base, Blast, and Fraxtal (all OP stack chains). I am organizing the Fault Proof CTF event this summer, which will serve as the final line of defense for the security of fault proofs before deploying to mainnet. I served on the Developer Advisory Board for Season 5, taking an active role in streamlining DAB processes to ensure the members were well coordinated. In my work with the DAB, I provided private feedback to the Grants Council, as well as providing public feedback on many Mission Requests and applications (ex: 1 , 2 , 3 ). In a past life, I co-founded and ran Scribe Media . This is irrelevant technically, but provided helpful experience in leading a team of 100+ people that will carry over to this role. Board Charter: Link to original Charter: Season 5 Charter The Developer Advisor Board should be greatly expanded in Season 6 to make better use of the technical expertise of the group. Here is the proposed & expanded charter: Support the Optimism community through important technical decisions. Provide plain English explanations of all protocol upgrades for the community. Act as one of four delegate approvals that will be required before a Protocol Upgrade can move to a vote. Be available for consultation by delegates regarding important technical decisions, especially protocol upgrades. Support the Grants Council on evaluation technical Mission Requests. Review Mission Request drafts and provide guidance to the Grants Council, specifically focusing on their technical merits and whether the grant size is reasonable. Review applications for Mission Requests and provide guidance to the applicants as well as the Grants Council, specifically focusing on the team’s detailed plan and whether they seem to be capable of executing on the mission. Review work product delivered for milestones on existing grants to provide guidance on whether the milestones have been successfully achieved. Use “veto power” to keep Grants Council technically grounded (ie. a unanimous “no” vote by the DAB on any of these topics will block the Grants Council from voting “yes”). Bring an additional technical perspective to thinking about the vision of the OP ecosystem and what needs to happen to get there. Be available for discussions for any core OP devs to provide an outside voice on technical and security related decisions. Support in finding technical talent to fill important roles at OP Labs. Generate ideas for the Builders Ideas list to spur community contributions. Other Logistics: All members will be accountable to governance as they remain removable via the Representative Removal proposal type outlined in the Operating Manual Breakdown of Board Operating Budget: Lead (1) = 25k OP (+5k from last season) The increase in pay for this role represents the increase in responsibilities based on the changes outlined in this proposal. Specifically, the Lead will be responsible for: (a) leading all board meetings, (b) interfacing with other areas in OP governance to ensure the DAB is supporting where possible, (c) working with Upgrade Czar on approving protocol upgrades, (d) providing feedback for DAB members on their performance, (e) exercising decision-making authority in the event that the board cannot come to consensus, and (f) writing & sharing the retrospective after Season 6 on changes to improve the DAB going forward. Upgrade Czar (1) = 17.5k OP (+5k from last season) This role did not exist last season. All Members were paid 12.5k OP, and the increase in pay for this role represents the increase in responsibilities. Specifically, the Upgrade Czar is responsible for: (a) understanding the OP Stack deeply and reviewing all upgrades, (b) leading the DAB in discussing and approving these upgrades, and (c) writing up non-technical summaries of the changes for the community Ops Lead (1) = 17.5k OP (+5k from last season) This role did not exist last season. All Members were paid 12.5k OP, and the increase in pay for this role represents the increase in responsibilities. Specifically, the Ops Lead is responsible for ensuring that all DAB tasks are well orchestrated and happen on time, including: (a) improving the IOPs, (b) scheduling meetings, (c) interfacing with other Councils, (d) organizing spreadsheets for feedback, and (e) looking for any other opportunities to make changes that will keep the DAB’s efforts focused and effective OP Labs Representative (1) = 0 OP (equal to last season) Additional Members (3) = 10k OP each = 30k OP (-7.5k from last season) All Members were paid 12.5k OP last season, but also shared some of the responsibilities that will be taken on by the other roles this season. I believe 10k OP is sufficient to incentivize top talent to participate, especially given the possibility for RetroPGF. Note: If you’re paying close attention, you’ll see that the math on the changes doesn’t exactly add up. This is because, last season, one of the members (Noah) was unpaid. However, this budget includes the “worst case” assumption that all Members are paid, although it is possible that Noah (or someone else) opts to forfeit compensation. KPIs & Measurements User Experience KPIs: Did 100% of Protocol Upgrades have a non-technical summary posted within 72 hours and get approval or comments from the DAB? What NPS score would the Grants Council reviewers provide (answering: “On a scale from 1-10, if it were up to you, how likely would you be to renew the DAB next season?”) What NPS score would the Citizens give the DAB (answering: “On a scale from 1-10, how much value do you feel the DAB provided the community this season?”) Performance KPIs: Did voting participation on Protocol Upgrades increase (including abstains) since the non-technical summaries were implemented? Did the number of milestones missed by grant recipients decrease on DAB-approved grants relative to grants before the DAB? Did the quality of technical grants chosen increase, as evaluated by members of the OP Labs engineering team? 12 Likes Season 6 Nominations: Developer Advisory Board Ed Mazurek - Developer Advisory Board Operating Budget Voting Cycle Roundup #23a Developer Advisory Board - S6 Internal Operating Procedures Developer Advisory Board Feedback & Ideas Thread Season 6: Voting Cycle Guides Optimism Community Call Recaps & Recordings Thread Governance Report : Special Voting Cycle #23a Optimism Forum Weekly Recap (May 13, 2024 - May 19, 2024) Season 6 Elections: Developer Advisory Board OP Bulletin: Weekly news and insights on the Optimism Collective 📰 Governance Weekly Recap Optimism Community Call Recaps & Recordings Thread","Elected  Representatives 💼","Zach Obront proposes a 90,000 OP budget for the expanded Developer Advisory Board (DAB) in Season 6. The proposal outlines increased responsibilities for the board, including technical decision-making, community education on protocol upgrades, and grant review, with a focus on improving user experience and grant performance. The budget allocates funds to a Lead, Upgrade Czar, Ops Lead, and additional members."
13,"Standard Proposal Template – Optimism Token House",https://gov.optimism.io/t/standard-proposal-template-optimism-token-house/5443,"system March 5, 2023, 10:07pm 1 Standard Proposal Template – Optimism Token House For all non Governance Fund grant proposals, please use the below template and the process outlined in the operating manual. Proposal Title: _____________________________________ What your proposal is called? Proposal Type : _____________________________________ Governance proposals must fall under a valid proposal type . Executive Summary A high level overview of the proposal’s substance. Please include: Short summary of the proposal Impacted stakeholders & expected outcomes Motivation The why. Please include: Why you are submitting the proposal Any conflicts of actual or anticipated conflicts of interest that you (as an individual, group or entity) may have with respect to the proposal Why the Collective should adopt the proposal Specifications The details of the proposal. Please include: Technical details (a comprehensive description of the proposed changes).** If applicable, please include: Links to all protocol/ API/ tech specifications Overview of ongoing security considerations, including all audits and findings* Impact summary (a comprehensive description of the consequences of adopting the proposed changes). If applicable, please include: Changes in performance characteristics Time-of-upgrade considerations (downtime, etc.) Links to exhaustive upgrade documentation for impacted stakeholders Action Plan How the proposal would be implemented. If applicable, please include: Anticipated implementation/upgrade/execution timing Contingency plans in case of last-minute bugs or issues Plan for communication and education to the community Conclusion Tying it all together. Please include: Recap of main points Request for approval from the Collective Note: By submitting a proposal, you represent and warrant to the Optimism Collective that all the information it contains is true and complete to the best of your knowledge. 6 Likes Operating Manual v0.3.4: The Token House and Citizens' House [OLD] [OLD] Operating Manual v0.3.7: The Token House and Citizens' House [OLD] Operating Manual v0.3.6: The Token House and Citizens’ House How to Navigate the Forum Operating Manual v0.3.3 [OLD] [OLD] Operating Manual v0.3.8: The Token House and Citizens' House Operating Manual v0.3.2 [OLD] [OLD] Operating Manual v0.3.5: The Token House and Citizens’ House","Technical  Proposals 📃","This document outlines a standard proposal template for Optimism Token House, a decentralized autonomous organization (DAO).  It provides guidance on submitting proposals for non-Governance Fund grants, including required sections such as executive summary, specifications, action plan, and conclusion. The document also references the Operating Manual for further details."
14,"About the Technical  Proposals 📃 category",https://gov.optimism.io/t/about-the-technical-proposals-category/4698,"lavande January 19, 2023, 12:27pm 1 Discuss non-grant related structural, or technical, governance proposals. 2 Likes","Technical  Proposals 📃","This post from January 19, 2023, is a discussion prompt asking for ideas on structural or technical governance proposals that are not related to grants. The post has received 2 likes."
15,"Inflation Adjustment Proposal Template",https://gov.optimism.io/t/inflation-adjustment-proposal-template/5923,"system April 25, 2023, 9:45pm 1 Background Inflation of the OP token is set to a default % each year. This inflation takes place via the MintManager contract calling the mint() function on the OP token contract at 0x4200000000000000000000000000000000000042 . This inflation parameter can be adjusted by Optimism Collective Governance. While the Citizens’ House is still in early stages, inflation adjustment will be determined via vote from the Token House, as specified in the Operating Manual . Note that this may not be the final governance process for inflation; the system may evolve as additional governance rights and capabilities come online. Inflation accrues to the “Unallocated” portion of the OP token allocations. The Unallocated portion of the token supply is held in reserve for future programs. For now, the Collective is focused on building healthy processes around the existing active portions of the token supply. How the Inflation Adjustment Vote works In the Voting Cycle that ends closest to and before May 31st, the Token House may vote to set inflation to any value between 0% and 2%, inclusive. If no proposal passes, inflation will remain at the rate last approved by governance. In 2024, an Inflation Adjustment Vote may take place in Special Voting Cycle #23a , which runs from May 23 - May 29, 2024. If more than one Inflation Adjustment Proposal is passed by governance, the proposal with the highest ratio of yes votes to total votes cast will pass. Inflation Adjustment should follow the template provided below and will need 4 top 100 delegate approvals by May 22nd at 19:00 GMT to proceed to a vote in Special Voting Cycle #23a , as outlined in the Operating Manual . Inflation Adjustment Proposal Template Inflation Adjustment Proposals should follow the template below: Summary What is this inflation adjustment proposal? Motivation Why should the Collective adjust inflation? Specification This proposal would set an inflation rate for [ YEAR ] of [ X% ]. If approved, and if not superceeded by another Inflation Adjustment Proposal with higher approval, this proposal will result in a one-time mint of OP of [ X ]% of the current total supply (4,294,967,296 OP) equal to [Y] tokens. This inflation will occur on or shortly after May 31 and accrues to the “unallocated” portion of the token supply. If not approved, and unless another Inflation Adjustment Proposal is approved, inflation will remain at the rate last approved by governance, which was 0%. Inflation will occur on or shortly after May 31 and accrues to the “unallocated” portion of the token supply. Impact Summary Expected effects resulting from inflation adjustment Expected impact to key stakeholders in the Collective 9 Likes Governance Weekly Recap Season 6: Guide to Season 6 [OLD] Operating Manual v0.3.6: The Token House and Citizens’ House Season 6: Reflection Period Guide OP Bulletin: Weekly news and insights on the Optimism Collective 📰 [OLD] Operating Manual v0.3.8: The Token House and Citizens' House [OLD] Operating Manual v0.3.7: The Token House and Citizens' House","Policies  and Templates 📌","Optimism's OP token has an annual inflation rate, adjustable by governance. The Token House can vote to set inflation between 0% and 2% annually. An Inflation Adjustment Vote will take place around May 31st, 2023, with proposals requiring 4 top delegate approvals. The inflation accrues to the "Unallocated" portion of the OP supply, which is held in reserve for future programs."
16,"About the Policies  and Templates 📌 category",https://gov.optimism.io/t/about-the-policies-and-templates-category/4711,"lavande January 19, 2023, 2:55pm 1 Find governance policies and proposal templates here 3 Likes","Policies  and Templates 📌","This post, dated January 19, 2023, directs users to a location where they can find governance policies and proposal templates. The post has received three likes."
17,"About the Collective  Strategy 🧭 category",https://gov.optimism.io/t/about-the-collective-strategy-category/8096,"maxwell May 9, 2024, 4:39pm 1 This category is for Collective Strategy relating to intents and roadmaps. Optimism Forum Weekly Recap (May 6, 2024 - May 12, 2024)","Collective  Strategy 🧭","This is a weekly recap of the Optimism Forum, covering collective strategy, intents, and roadmaps for the week of May 6th to May 12th, 2024."
18,"Revenue Opportunities for the Optimism Collective",https://gov.optimism.io/t/revenue-opportunities-for-the-optimism-collective/9045,"alexsotodigital October 13, 2024, 11:54pm 1 The post “ Accelerated Decentralization Proposal For Optimism ” sparked a fruitful conversation that helped highlight an unresolved tension: several delegates maintain the thesis that sequencer fees are going to 0. Considering that Optimism’s revenues are tied to sequencer revenues, exploring alternative ways to generate income (contributing to the sustainability of the collective and its programs) is highly strategic. Accelerated Decentralization Proposal For Optimism The value proposition of the Superchain may be correct, but we, along with other delegates, continue to maintain the thesis that sequencer fees are going to 0. While there is no ‘immediate urgency’ to achieve this, I believe it would be beneficial to start a deeper conversation on this topic to tap into the collective intelligence. To give structure to the process, I propose using the first two steps suggested by the ‘collective proposal creation’ described in the sociocratic model . I like this framework because it emphasizes the importance of understanding the problem and defining ‘the rules of the game’ before jumping into suggesting solutions in a creative brainstorming process. Collective Proposal Creation: Step 1 – Understanding the Issue : First, a moment where we focus on grasping the context before diving into solutions. The intention is to create a list of ‘dimensions’ that the proposal should include or take into consideration to address the underlying needs and ensure it is sustainable over time. Step 2 – Explore Ideas : A moment to aspire to collective creativity, widening the scope of ideas. Step 2a – Picture forming (dimensions) : It is confirmed that there is shared understanding and acceptance of the ‘list of dimensions’ to consider, ensuring that all elements are compatible with each other. Step 2b – Gathering proposal ideas : A brainstorming session is invited, which can occur synchronously or asynchronously. Here, ideas may oppose each other. The goal is quantity over quality. Ideally, we all chip in with ideas. Step 2c – Synthesize : A smaller group of participants (whether representatives of stakeholders or leaders in the process) are invited to create a “Frankenstein” that integrates the best of all ideas in a way that addresses the entire (or a good portion of the) list of dimensions. The result of this synthesis could be seen as a valuable input for the OP Foundation to create a proposal based on it, as suggested in the current phase of ‘ The Path to Open Metagovernance ’. List of dimensions: Therefore, the first step would be to agree (both the Foundation and Labs, as well as other relevant voices from the collective) on the list of questions/dimensions that any successful proposal (for a revenue model) must address. In other words, what elements it should include and what limitations exist. Some examples of things to consider. The proposed model should: Be executable even if the sequencer fees go to 0. Respect the Working Constitution and the guiding principles of the Law of Chains . Be compatible with the protection of user rights and the security of funds from a technical perspective. Operate under a four-pillar design philosophy of simplicity, pragmatism, sustainability, and optimism. Contribute to scale Ethereum technology and values & build an internet that benefits all, and is owned by all. Do you have any additional considerations that I haven’t mentioned? What is the frame of reference that we cannot forget? What prior agreements should not be modified? cc. @GFXlabs @Gonna.eth @MattL @AnthiasLabs @ccerv1 @SEEDGov @LuukDAO @system In conclusion, I hope you see this as an invitation to delve deeper into this conversation in a structured manner, with the confidence that we can continue to innovate in how we add value to the ecosystem sustainably over time. If there is a previous thread or a better channel for this, I apologize for my ignorance. I remain attentive and at your disposal. 11 Likes Accelerated Decentralization Proposal For Optimism Superchain Product Vision Governance Weekly Recap Optimism Forum Weekly Recap - daospace: 10/07 - 10/13","Collective  Strategy 🧭","The post proposes a structured discussion on alternative revenue models for Optimism, considering the possibility of sequencer fees going to zero. It suggests using the Sociocratic model to collaboratively define the problem and brainstorm solutions, ensuring a sustainable and inclusive approach that aligns with Optimism's core values and goals. The post calls for input from the community to refine the list of dimensions and potential solutions."
19,"About the Updates  and Announcements 📢 category",https://gov.optimism.io/t/about-the-updates-and-announcements-category/4700,"lavande January 19, 2023, 12:31pm 1 (Replace this first paragraph with a brief description of your new category. This guidance will appear in the category selection area, so try to keep it below 200 characters.) Use the following paragraphs for a longer description, or to establish category guidelines or rules: Why should people use this category? What is it for? How exactly is this different than the other categories we already have? What should topics in this category generally contain? Do we need this category? Can we merge with another category, or subcategory? 28 Likes","Updates  and Announcements 📢","This text is a discussion about creating a new category on an online platform. It outlines the need for a brief description of the category, along with longer explanations and guidelines for its use. It encourages users to consider the category's purpose, its differences from existing categories, and whether it's truly necessary or if it could be merged with another."
20,"Optimism Fractal Season 4",https://gov.optimism.io/t/optimism-fractal-season-4/8707,"DanSingjoy August 13, 2024, 2:19am 1 Dear Optimists, Optimism Fractal is returning from summer break and we’re excited to embark on Season 4! We’re looking forward to reconnecting at our weekly events and invite you to join! Optimism Fractal events kick off with our beloved Respect Game , which always provides a great time to collaborate with builders on the Superchain, raise awareness for your work, and build your reputation in the Optimism Collective. I’m so grateful for everyone who helped make the past three seasons so special and am stoked for all the amazing experiences the community will share at Optimism Fractal events in this season. I encourage you to invite friends and register on the events calendar , where you can also find weekly Optimism Town Hall and Eden Fractal events. At this week’s Optimism Town Hall I propose that we plan Optimism Fractal’s fourth season with an open discussion. We can reflect on our achievements so far, share updates from over the break, discuss goals for Season 4, and consider topics for future town hall events. Optimism Fractal is well-positioned to make significant strides in achieving our core intents and integrate more deeply with the Collective. You can vote on the topic proposal and see how we choose topics at the town hall here . Join us to connect, share your thoughts, and help actualize the Optimistic Vision in our fourth season. I’m excited to hear from everyone and take our next steps together. If you’re not yet familiar with Optimism Fractal, please explore OptimismFractal.com to learn more and discover how we can collaborate. If you’d like to review our progress from last season, you can see this thread and watch our recent videos . The first events of the season are on Thursday, August 15th and we’ll meet each week on Thursday at 17 UTC after that. Looking forward to seeing you there! optimism fractal sunny flower rainbow square 1 694×694 90.1 KB 1 Like Optimism Forum Weekly Recap - daospace: 08/12 - 08/18 Governance Weekly Recap","Updates  and Announcements 📢","Optimism Fractal is back for Season 4, starting with the Respect Game on August 15th. The community is invited to join weekly events, including the Optimism Town Hall, to discuss goals, share updates, and help achieve the Optimistic Vision.  New members are encouraged to learn more about Optimism Fractal and how they can participate."
21,"About the Governance  Design 📐 category",https://gov.optimism.io/t/about-the-governance-design-category/8121,"maxwell May 10, 2024, 1:13pm 1 This category is for the Collective’s metagovernance strategy! Initiatives like the Path to Metagov, Collective Feedback Commission, and programs likes the Chain Delegation Program live here. Metagovernance is governance of the governance system, so this category pertains to the design of how the Collective governs the governance system. 2 Likes Optimism Forum Weekly Recap (May 6, 2024 - May 12, 2024)","Governance  Design 📐","This category focuses on the Collective's metagovernance strategy, which governs the governance system itself. Initiatives like the Path to Metagov and the Chain Delegation Program aim to design and implement a robust system for collective decision-making."
22,"The Collective Feedback Commission: The Next Iteration",https://gov.optimism.io/t/the-collective-feedback-commission-the-next-iteration/9113,"system October 23, 2024, 11:37am 1 Collective Feedback Commission: The Next Iteration The Collective Feedback Commission (CFC) was piloted beginning in Season 5 as part of the path to open metagovernance. As outlined in the Collective’s Working Constitution , the Foundation’s role is to bootstrap the governance system of the Collective over multiple years, gradually bringing more governance rights online until the system can manage itself. Metagovernance refers to the ability to propose changes to the design of the governance system. Given the importance of this responsibility, metagovernance is the last governance responsibility that will be transferred to the community. The CFC serves as an experimental training ground to develop a “Core Governance Program” that will allow the Collective to take on metagovernance responsibilities in the future. The inspiration for this program is Core Development Programs. The goal of the CFC is to enable the Foundation to become just one of many Core Governors proposing metagovernance proposals in the future (similar to how OP Labs is just one of many Core Developers proposing protocol upgrades.) This will require a multi-year, gradual, and iterative process. The CFC began with an initial six month pilot in which members were primarily “consulting the Foundation on early design drafts requiring a high degree of context.” You can see the full pilot retrospective here . Based on the impact of the pilot, the Foundation has decided to continue iterating with the CFC. Iterations of the Commission will gradually increase the set of member responsibilities over time as well as increase the number of members the Commission can support. The next iteration of the Commission will launch on November 4th. Qualifying participants will be notified by October 28th and will be required to opt-in and KYC by November 1st. Please note that while we will continue the Commission, we will be postponing the launch of the open contribution path component until we have further refined the best format to accomplish the longer term goals of the Commission. It is one full workstream to design how the Commission works and another workstream to create the contribution path that supports it. We are still committed to supporting this path in the future, but need to focus our efforts on the refinement and development of the core workstream first. We will continue to invest in the many opportunities outside the Commission for the broader community to provide feedback to the Foundation. image 2484×606 33.1 KB Season 7 Collective Feedback Commission Charter Season 7 CFC Goals The next iteration of the CFC will begin on November 4th and run through the end of Season 7. Goals: Allow members to gain more insight into the Foundation’s approach to governance design, building shared context around the how and why Create a more collaborative working process between the Foundation and the Commission, involving Commission members in the earlier stages of our design process: planning and research Allow for member specialization based on level and type of expertise, accomplished via the distinct tracks outlined below Allow members to have more agency over lower stakes design parameters Non-goals: The pilot made it obvious that we need to further refine the Foundation’s working relationship with the CFC before we can ask members to develop the lower levels of the contribution path and mentor new participants. We are still committed to the development of this contribution path in the future and would recommend joining the govNERDS contribution path to build up relevant knowledge and skills in the meantime (join the wannabe-govnerds channel in Discord for more info!) As always, after each version, there will be a participant survey and retrospective workshop to inform the next iteration. You can find the pilot retrospective here . Season 7 CFC Structure image 2136×1256 123 KB Participants The Collective Feedback Commission will be split into three different tracks to allow for different levels of engagement and to accommodate different types of expertise. Optimization: Members will refine, optimize, and adapt existing processes or programs they have first hand experience with Operational (Governance Processes) Focus areas: Token House Process, Citizens’ House Process, User Testing Membership: 3 members; based on demonstrable knowledge of processes Foundation Track Lead: @op_julian Expected Hours per month: Up to ~3 Level of agency: Write access Informed about Organizational work; attends all Commission meetings Organizational (Governance Structures) Focus areas: Onboarding Flows, Autonomous Operations, Evolving Mandates Membership: 5 members; All Council, Board, and Commission Leads Foundation Track Lead: @maxwell Expected Hours per month: Up to ~5 Level of agency: Edit access Informed about System Design work; attends select Foundation meetings Design Research: Members will work directly with the Foundation via “Project Partnerships,” supporting the Foundation in one of the earlierst stages of the design process: Research Focus areas: Research, Evaluation Algorithms, Selection Algorithms, Voting Design, Decentralization Membership: Up to 10 members; based on demonstrable expertise Foundation Track Lead: @lavande Expected Hours per month: Up to ~8 Level of agency: Read + research access Work directly with the Foundation team via “Project Partnerships” Each track will have a Foundation Lead. Simona Pop, a Foundation Advisor, will serve as the Commission Lead. Foundation Leads will facilitate context sharing between the Commission and the Foundation. The Commission Lead will manage Commission operations and hold the Foundation accountable to executing on this Charter. * There will be 18 eligible members. Qualification of members will based on demonstrable contributions/attestations relevant to each area of required expertise. All members must opt-in to participate. The full list will be added as a comment to this post on October 25th. The CFC is an experiment and membership models are subject to change with each iteration. We will continue to invest in the many opportunities outside the Commission for the broader community to provide feedback to the Foundation. Note: Pilot membership was determined via delegation rankings in the Token House and via demonstrable contributions in the Citizens’ House. This led to a high degree of overlap between members of the CFC and other leadership roles in the Collective. The current iteration experiments with selection based on expertise. We are likely to continue experimenting with different selection methods in future iterations. Season 7 Responsibilities Individual members of the Collective Feedback Commission will: Provide feedback on early Foundation design drafts, roadmaps, frameworks, etc. Participate in broader design discussions with the Foundation via monthly meetings Provide feedback on community authored Mission Requests to ensure they align with Season 7 Intents and/or other strategic initiatives Execute on contributions as scoped by the Foundation (members of the Design Research track will do this via Project Partnerships) Note: The Foundation will use feedback from Commission members as an input but is not obligated to incorporate any individual piece of feedback or implement the recommendations in any contribution. Commission feedback will be shared with the Foundation and other Commission members, and may be made publicly viewable by the entire community at the end of the Commission’s term. The Foundation will provide summaries of the impact of all contributions. Foundation Track Leads will: To the best of our ability, request feedback on regular feedback cycles. Project Partnerships will be scoped with clear deliverables and deadlines. Host monthly calls with the Foundation governance design team to share context and facilitate a two-way dialogue with Commission members. Propose a selection mechanism that determines which members claim specific pieces of work, subject to simple majority approval by members at the start of the term. The Commission Lead will: Onboard new Commission members, ensuring they are familiar with the CFC’s processes, mission, and operational structure. This includes providing any necessary documentation or training to help them contribute effectively from the start. Propose the evaluation algorithm by which rewards will be distributed to individual members at the start of the term, subject to majority (51%) approval (see “Rewards” section below). Ensure members of each track are executing on their responsibilities in a timely manner and flag any blockers to execution to the Foundation. Facilitate feedback loops and coordination between Commission members and the Foundation, when needed, holding the Foundation accountable to this Charter. Organize regular Commission meetings, as desired by members. The frequency of internal meetings is at the discretion of the Commission Lead but should be aligned with governance minimization. Authoring, or coordinating authorship, of any regular communication reports circulated to the broader community. Conduct feedback survey, facilitate peer reviews, and host retrospective workshop at the end of the Commission’s term to inform the next iteration Note: Leads are operational roles, meaning they do not engage in the day-to-day activities of the team but rather manage the operations of the team. This means Leads don’t review, vote, or sign but they may exercise decision-making authority in the event that the commission cannot come to consensus on a matter (ie. serve as tie breaker). Leads may also draft any applications for impact evaluation of the Commission, although we don’t expect Retro Funding to be applicable to the Commission’s work in Season 7 (see below.) Season 7 Rewards The CFC will be allocated 100,000 OP by the Foundation. The Commission Lead will be compensated separately, via an agreement with the Foundation. These tokens will come out of the Unallocated Portion of the treasury, managed by the Foundation, since the CFC provides a valuable service to the Foundation. We are providing these rewards as we believe the work of the Commission is difficult to evaluate retroactively and therefore the CFC’s work should not depend on being eligible for Retro Funding. Retro Funding is best suited to evaluating measurable and permissionless impact, whereas the Commission’s work is hard to measure and is currently permissioned to members selected by the Foundation. The level of impact generated by the Commission might also be higher or lower in a given season due to factors outside the Commission’s control, such as the Foundation’s experiment design. Members will vote via simple majority to approve an evaluation algorithm, proposed by the Lead at the start of the term, via which rewards will be allocated from this budget at the end of the season. The Lead will calculate individual rewards based on the approved evaluation algorithm at the end of the Season and rewards should be allocated accordingly. The Foundation recommends a minimum 48 hour dispute window to allow members to verify the correct application of the evaluation algorithm before contacting the Foundation to deliver rewards. Season 7 Success Number of new ideas proposed and implemented as a result of Commission input (> 8) % of drafts in which feedback was ranked as “high value” by the Foundation (> 70%) NPS score from Foundation governance team (= > 5/7) The below measures will be used to evaluate the success of the Foundation in managing this program: Member ranking of clarity of role 8.5+ (up from 7.7/10 in v1) Member ranking of clarity of responsibilities 9+ (up from 7.6/10 in v1) Member ranking of Commission efficacy 8.5+ (up from 6.9/10 in v1) 10 Likes","Governance  Design 📐","The Collective Feedback Commission (CFC) continues to evolve, allowing community members to contribute to the design of the Collective's governance system. The next iteration launches on November 4th with three tracks focused on optimization, organizational structure, and design research. Members will provide feedback on Foundation designs and contribute to projects. The CFC aims to build shared context, foster collaboration, and equip members with greater agency."
23,"About the Feedback  💬 category",https://gov.optimism.io/t/about-the-feedback-category/8097,"system May 9, 2024, 5:28pm 1 This category is for feedback threads on specific topics! Optimism Forum Weekly Recap (May 6, 2024 - May 12, 2024)","Feedback  💬","This post is a weekly recap of discussions on the Optimism Forum, covering topics from May 6th to May 12th, 2024. It invites feedback on specific issues discussed during the week."
24,"Season 6 Feedback Thread",https://gov.optimism.io/t/season-6-feedback-thread/8633,"system July 26, 2024, 4:17pm 1 Creating a place for delegates and gov participants to provide feedback on Season 6. Please leave constructive feedback so we keep the signal to noise ratio high in here! All forum engagement is subject to the Forum Rules of Engagement 5 Likes Optimism Forum Weekly Recap - daospace: 07/22 - 07/28 Retro Funding 6: Governance - Round details","Feedback  💬","This forum post invites delegates and government participants to provide constructive feedback on Season 6 of the Optimism Forum.  The post emphasizes the importance of high-quality feedback and adherence to forum rules. It also provides a link to a weekly recap focusing on the Retro Funding 6: Governance round."
